Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Actual,Predicted
0,1691.25,5.908,0.0,25,0.0,13.855085
1000,1036.25,4.227,0.0,22,143.60899999999674,96.56143
2000,1182.75,9.881,57.663,22,398.8440000000119,532.1135
3000,1739.75,44.164,73.92,24,1924.8120000000054,1435.601
4000,2108.75,7.965,0.0,29,4387.0,2668.455
5000,2164.0,6.299,19.739,30,5238.2970000000205,4004.8262
6000,2147.75,11.535,27.267,30,5711.062000000005,5346.4746
7000,2190.25,10.555,19.278,30,6517.812000000005,6731.9473
8000,2275.5,11.279,19.348,32,7411.5470000000205,8250.155
9000,2376.5,16.176,45.337,33,8412.437000000005,9971.653
10000,2595.0,13.391,25.269,36,10828.483999999997,11892.745
11000,2767.25,14.998,27.087,38,12238.719000000012,13861.455
12000,2869.5,7.031,0.0,40,13698.391000000003,15657.414
13000,2794.5,7.916,0.0,39,14260.312000000005,17112.963
14000,2664.0,7.869,0.0,37,14304.344000000012,18234.422
15000,2526.5,7.479,0.0,35,14304.344000000012,19137.045
16000,2415.25,7.311,0.0,34,14304.344000000012,19944.205
17000,2330.75,6.457,0.0,32,14547.04700000002,20734.156
18000,2244.25,7.064,0.0,31,15023.858999999997,21546.576
19000,2143.25,6.457,0.0,30,15189.703000000009,22407.9
20000,2127.25,18.057,40.918,29,15663.531000000017,23352.498
21000,2250.0,7.086,12.732,31,17063.062000000005,24372.047
22000,2212.25,8.008,13.028,31,17500.687000000005,25405.092
23000,2134.75,10.652,18.777,30,18233.765000000014,26472.127
24000,2271.75,10.092,15.393,31,19063.733999999997,27638.258
25000,2308.5,11.047,20.578,32,19943.875,28899.535
26000,2384.75,11.055,13.51,33,20956.0,30238.2
27000,2430.75,13.135,28.339,34,21839.891000000003,31601.672
28000,2533.75,13.967,21.857,35,23120.312000000005,32911.0
29000,2508.75,8.008,0.0,36,24279.765000000014,34061.676
30000,2481.0,7.836,0.0,34,24361.594000000012,35015.824
31000,2355.0,7.156,2.054,33,24361.594000000012,35808.6
32000,2303.5,7.311,0.0,32,24728.25,36534.16
33000,2200.0,5.91,14.453,31,25021.531000000017,37294.92
34000,2190.75,12.199,26.987,30,25550.483999999997,38212.426
35000,2299.5,13.516,22.437,32,26739.42200000002,39358.504
36000,2419.75,13.354,22.412,34,27925.281000000017,40704.3
37000,2524.25,14.809,30.362,35,29205.0,42154.246
38000,2657.75,10.84,0.0,37,30854.95300000001,43568.676
39000,2604.5,6.047,17.029,36,31218.641000000003,44804.477
40000,2511.5,7.748,0.0,35,31631.233999999997,45834.14
41000,2337.25,6.838,0.0,33,31666.358999999997,46699.895
42000,2183.5,6.611,0.0,31,31666.358999999997,47466.227
43000,2100.75,6.416,0.0,29,31666.358999999997,48134.74
44000,1929.0,5.752,0.0,27,31666.358999999997,48631.02
45000,1467.75,5.297,0.0,26,31666.358999999997,48912.15
46000,918.75,4.98,0.0,23,31783.906000000017,49089.67
47000,977.25,4.787,0.0,18,32174.344000000012,49378.914
48000,1362.5,6.73,22.482,18,32491.531000000017,49887.242
49000,1341.5,13.809,31.86,18,33106.234,50623.97
50000,1459.25,13.379,46.75,20,34116.59400000001,51696.797
51000,1676.5,44.217,56.882,23,35625.15600000002,53261.285
52000,2023.5,57.727,44.485,27,38209.5,55470.176
53000,2401.0,100.076,49.875,33,42286.59400000001,58352.793
54000,2840.75,17.578,36.255,39,48239.78100000002,61674.832
55000,3093.75,20.275,36.227,43,50298.187000000005,64904.133
56000,3319.25,18.264,0.0,46,53014.375,67468.516
57000,3429.0,8.91,0.0,46,54498.062000000005,68972.06
58000,2029.75,6.494,0.0,45,54576.265000000014,69561.555
59000,1922.5,6.025,0.0,42,54576.265000000014,70019.39
60000,1827.5,6.006,0.0,40,54576.265000000014,70634.586
61000,1740.75,5.984,0.0,38,54576.265000000014,71388.945
62000,1608.5,5.746,0.0,36,54576.265000000014,72145.55
63000,1416.0,5.389,0.0,32,54576.265000000014,72785.05
64000,1162.75,4.158,0.0,26,54616.5,73278.086
65000,1068.75,3.934,0.0,24,54845.79700000002,73660.18
66000,977.25,3.857,0.0,21,55110.53100000002,73943.76
67000,950.0,3.865,0.0,15,55387.359,74160.79
68000,877.25,3.484,0.0,8,55644.42200000002,74377.63
69000,834.0,2.852,0.0,4,55872.78100000002,74702.46
70000,757.75,2.887,0.0,0,56088.562000000005,75249.76
71000,2345.75,38.434,35.852,0,56838.609,76004.31
72000,1159.75,5.291,23.755,5,57918.04700000002,76677.14
73000,1036.25,11.357,30.978,6,58260.125,77523.766
74000,1667.0,14.318,26.773,11,59396.859,78852.195
75000,2178.25,14.895,29.376,15,60593.90600000002,80797.6
76000,2752.75,19.266,35.95,21,62381.891,83318.766
77000,3543.0,20.836,35.974,28,65151.42200000002,86032.42
78000,4063.5,12.674,0.0,32,67785.812,88192.805
79000,2907.25,8.301,9.119,32,68113.875,89395.945
80000,2597.25,12.891,26.538,32,68715.234,90220.03
81000,2480.0,14.271,26.538,34,69792.391,91215.766
82000,2643.75,15.137,26.538,36,71269.859,92678.92
83000,2836.0,15.529,26.538,39,73054.687,94580.07
84000,3004.75,15.4,25.735,42,74724.46900000001,96628.79
85000,3147.25,11.188,17.621,44,76308.125,98363.29
86000,3152.0,8.193,0.0,44,77411.28100000002,99327.83
87000,2129.0,6.121,0.0,44,77627.53100000002,99426.016
88000,1036.5,4.037,0.0,44,77648.734,99191.055
89000,1233.25,5.135,0.0,43,77917.67200000002,99184.22
90000,1343.5,4.863,0.0,41,78264.57800000001,99548.08
91000,1149.5,5.238,18.719,40,78592.812,100279.4
92000,1739.25,9.918,25.43,40,79048.641,101304.74
93000,2153.75,7.873,0.0,40,79783.51500000001,102222.74
94000,1318.25,3.914,0.0,40,79924.141,102661.734
95000,965.5,3.404,0.0,40,80207.25,102734.18
96000,873.75,3.301,0.0,40,80444.109,102615.17
97000,901.0,3.506,0.0,40,80680.875,102419.234
98000,899.5,3.459,0.0,37,80933.391,102237.15
99000,885.75,3.396,0.0,33,81162.01500000001,102233.06
100000,981.0,5.852,0.0,33,81406.21900000001,102671.26
101000,1240.0,4.715,0.0,32,81793.984,103891.945
102000,1476.25,26.525,100.0,31,82112.20300000001,106224.39
103000,5488.25,14.879,0.0,31,86483.65600000002,109306.7
104000,3626.25,19.447,100.0,32,87635.734,111039.33
105000,2221.25,44.094,92.807,35,90293.812,111497.02
106000,1261.75,37.256,0.0,38,92826.109,111601.016
107000,1976.5,13.219,59.848,39,93877.234,112050.68
108000,1910.25,36.266,8.752,41,95646.734,112803.5
109000,1910.0,5.566,17.087,42,96578.21900000001,113671.69
110000,1918.75,5.371,0.0,42,96961.734,114430.03
111000,1908.25,5.525,0.0,42,97290.26500000001,114902.375
112000,1628.75,5.615,0.0,36,97545.234,115071.58
113000,1328.75,4.549,30.002,29,97560.04700000002,115183.16
114000,1395.75,32.488,66.589,30,98368.0,115546.086
115000,1513.25,73.473,63.94,33,100109.78100000002,116309.06
116000,1693.25,99.914,47.754,37,102504.984,117465.94
117000,1884.75,37.145,22.348,41,105407.92199999999,118844.68
118000,1970.75,6.236,0.0,43,106928.29699999999,120156.086
119000,1944.75,5.877,0.0,43,107001.76499999998,121131.85
120000,1907.5,5.898,0.0,42,107001.76499999998,121621.086
121000,1661.25,5.553,0.0,37,107001.76499999998,121623.48
121999,901.5,3.258,0.0,28,107023.32800000001,121373.984
122999,960.75,4.492,0.0,24,107269.51499999998,121232.77
123999,913.0,3.621,0.0,22,107594.39100000003,121372.53
124999,1040.0,6.508,31.342,22,107925.26499999998,121941.65
125999,1666.75,30.42,42.136,24,108915.14100000003,123059.375
126999,2052.25,57.596,45.151,28,111070.57800000001,124706.09
127999,2465.0,24.129,30.399,34,114601.57800000001,126786.74
